Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60767.6,12.74451,61.63179,-7.807591,96.40916,-0.04791087,1.47E-08,9.365523,52.02496,50.94051,0,0
60767.7,29.695,61.63179,-7.807591,96.40916,-0.04791087,1.47E-08,9.365523,53.33307,50.94051,1,0
60767.8,16.47814,59.62654,-11.26243,93.23957,-0.0892139,1.47E-08,9.135153,55.94931,50.94051,0,0
60767.9,-4.784804,59.62654,-11.26243,93.23957,-0.0892139,1.47E-08,9.135153,55.94931,50.94051,0,0
60768,-19.0094,58.97916,-24.18098,80.26453,-0.03102315,0.1111111,8.837028,55.94931,50.94051,0,0
60768.1,-3.810789,58.97916,-24.18098,80.26453,-0.03102315,0.1111111,8.837028,55.94931,50.94051,0,0
60768.2,-1.704412,57.52803,-30.47548,77.71016,0.05198891,0.3333333,8.620211,55.94931,50.94051,0,0
60768.3,2.128271,57.52803,-30.47548,77.71016,0.05198891,0.3333333,8.620211,55.94931,50.94051,0,1
60768.4,-1.538407,57.88464,-26.66363,83.58794,0.0634888,0.6666667,8.376289,55.94931,35.47886,0,0
60768.5,-4.159123,57.88464,-26.66363,83.58794,0.0634888,0.6666667,8.376289,55.94931,4.55557,0,0
60768.6,-0.04155307,59.77468,-20.13295,90.16884,0.01703935,0.8888889,8.105267,55.94931,4.55557,0,0
60768.7,-4.287207,59.77468,-20.13295,90.16884,0.01703935,0.8888889,8.105267,55.94931,4.55557,0,0
60768.8,29.34985,59.62929,-17.40313,95.16769,-0.02122411,1,7.874898,55.29394,4.55557,1,0
60768.9,-15.08112,59.62929,-17.40313,95.16769,-0.02122411,1,7.874898,53.98318,4.55557,0,0
60769,-16.37824,58.6637,-21.29737,91.4158,-0.02348458,1,7.658078,53.98318,4.55557,0,0
60769.1,-27.88831,58.6637,-21.29737,91.4158,-0.02348458,1,7.658078,53.98318,4.55557,0,0
60769.2,-7.307812,58.42504,-22.95613,89.44923,-0.007891699,1,7.427709,53.98318,4.55557,0,0
